Date,IBM,BRK-B,KO,AXP,JPM,WFC,STT,BK,CI,WMT,COST,TRV,PNC,GS,MCO,DE,ECL,MSFT,DD,PG,BLK,HD,BA,VRTX,A,DIS,INTC,JNJ,FDX,TGT
3/30/2000,9158000,1270000,18795200,6803700,8017200,9668200,1184800,1481700,2853300,11570800,8942800,1717400,900000,1241200,1426400,2151400,760400,64178400,3723400,16008000,18700,7934300,3311100,892600,2034200,5418600,71646800,10338200,1530400,7097800
3/31/2000,8015200,1225000,8857000,6340300,6805000,10090800,1586600,2938000,2644500,9054000,9953300,2262800,856200,1693300,1061000,2154400,706800,64281400,2943300,12033600,23500,5169700,4640100,1579000,3732900,5358200,58442200,8013400,1351400,5896800
4/3/2000,7715600,770000,14186800,8983500,8509500,15408800,2409000,4992000,1917300,11935700,4199700,1440600,1020400,1789500,831800,3520000,869000,260118200,2226200,10071400,4000,5898500,3234700,824400,2030800,4870600,50071600,11106800,1009500,5473800
4/4/2000,16667200,1410000,27390200,14593500,12638700,16863600,3082800,3956900,3024300,13675800,9565100,1644700,1066700,3739600,1216400,4191800,494200,181244400,3714100,27514000,77700,8188500,4004200,945800,3519800,7049900,87341800,22024200,1714700,5482000
4/5/2000,8693500,1090000,20256600,8735700,7310700,8731200,1430200,2577400,2100000,7066000,2591700,754000,883200,3238700,1189800,4099400,587400,82887600,1984500,13620000,32700,5348300,2919900,1637200,2109100,5140100,62101800,14044800,1198400,2378600
4/6/2000,8887400,650000,20675000,9322100,4853400,13575200,1371800,1863900,2245500,7254200,4240500,1125800,745200,1675700,1026400,2217000,459400,66421400,2050000,7827000,12500,4234800,2970400,1048800,1375000,3615500,55134000,8297000,1193500,5371600
4/7/2000,5380300,605000,12374000,6879100,4914100,9817800,1270000,1089200,1594200,4013100,2588400,626200,746000,1373500,631400,1130600,368400,82613600,2305900,7794800,44500,3425100,2381600,611400,2975200,3298000,51357200,6315000,1600000,1882800
4/10/2000,5507300,585000,12903000,8168500,7864900,15029600,1573400,1822200,2366400,5521000,5795900,512100,649800,1749900,768600,1557400,527000,60685400,1397200,11747000,16100,3992300,2452600,350000,2956000,3665500,44849000,8393600,3331200,2132400
4/11/2000,7738700,590000,12096400,8784400,8217100,11059400,888200,1413100,3510900,5355400,7303000,557300,784200,1147200,2690400,1764200,556200,71961800,2657700,10197600,6300,3714600,2251100,497000,1896100,6923300,53071200,8903800,1422500,4503800
4/12/2000,8885200,820000,15586400,11771300,9133300,13893800,1929800,3628300,1967400,7243300,7751400,1086300,1628600,2598500,1724800,2337400,437200,153003800,3393300,20645800,3800,7081600,4620200,423800,4351500,8414200,60169600,7528200,2123200,3559800
4/13/2000,8236400,940000,8892800,9081500,6781000,9115200,1182400,2190600,2382600,7884500,6418200,729200,638100,3377700,1125000,3147800,424000,94316200,3647300,11353400,4900,7953100,2916700,170400,3736500,5078400,69414600,7071400,1481800,2936000
4/14/2000,11782000,935000,9488200,15655300,13084500,13311200,2731800,2092100,2448600,9372700,4131600,756600,1537100,4855800,1554000,2050600,719000,151217800,2762400,17381800,10200,7695600,3744900,410200,2862600,8248200,92800400,8469200,1988600,2840400
4/17/2000,9969500,830000,10710200,10543300,8708700,9401200,2148200,1907600,2503200,9660500,7134400,996200,905900,3489600,1029400,1692800,467600,119772200,1803800,15054000,15500,8667000,3761600,817800,2757500,6537200,88873400,11978200,1535100,3201400
4/18/2000,8205500,695000,13001000,6599100,6833400,8063600,1861800,2668300,1681200,7661200,5177100,622600,831500,2191500,2104800,1618800,535800,91794600,2632400,14387600,2900,7233700,3379100,566200,3758200,4275500,98558000,14995000,1178500,5273600
4/19/2000,14674500,465000,10073200,5586900,9057100,6159400,809000,1712900,1938300,6255300,3508700,678400,625400,1390200,2048200,1148200,595000,53715400,2201800,7923200,20400,5078400,5749000,712800,2423900,8579200,87377800,7797600,884300,2810000
4/20/2000,10633300,255000,8278600,5357000,4540600,7525800,747800,1368700,2232000,6090400,4288000,1593500,504600,1061100,1061000,1155000,1123800,52387400,2349100,8139200,78800,4111100,8110700,852000,1453000,5438800,45799000,5635400,817400,2299000
4/24/2000,8523100,590000,9377600,11306600,7792800,7880200,1512200,1405700,2173500,5633700,5967100,1222800,993500,1764300,751600,1533800,1053000,313645800,2004900,8723200,15100,4850200,10279700,438200,1698500,3844100,58320200,7205600,801800,2126800
